juego,ronda,n,media,desviacion,minimo,maximo
1,1,22,44.590908,16.031693,20,75
1,2,22,39.409092,18.476908,15,80
1,3,22,34.18182,16.871042,1,50
1,4,22,18,13.536547,1,50
1,5,22,19.545454,23.00461,0,100
1,6,22,8.318182,12.276134,0,45
1,7,22,16.363636,28.889849,0,100
1,8,22,9.5,20.896002,0,80
1,9,22,4.6363635,10.865171,0,50
1,10,22,12.272727,29.724421,0,100
2,1,22,45.909092,16.124247,20,85
2,2,22,37.81818,18.072964,10,67
2,3,22,37.590908,19.276581,1,75
2,4,22,18.40909,14.315024,1,46
2,5,22,21.40909,24.889584,0,90
2,6,22,9.454545,12.377889,0,50
2,7,22,18,29.563492,0,100
2,8,22,8.681818,20.995207,0,90
2,9,22,4.2272725,11.118118,0,50
2,10,22,11.590909,29.414377,0,100
